Type of Score,Composer Count,Number of Scores Added,First Name,Last Name,Full Name,Gender-Identity,Race,BIPOC,Nationality,Century of Birth,Century,Additional Identities,Birth,Death,Living,DBpedia,Composition Title(s)
Individual Composer,1,2,James,Lee III,"Lee III, James ",Man,Black,Y,American,20,20-21,,1975,,Y,,(1) Chôro sem tristeza: for flute (2008); (2) Set me as a seal: for voice & piano
Individual Composer,1,3,Jaime,León,"León, Jaime ",Man,Latinx,Y,Colombian,20,20-21,,1921,2015,N,,"(1) Ciclo de canciones infantiles = Children song cycle: Pequeña pequeñita; (2) La canción artística colombiana: Jaime León, análisis y compilación de su obra para voz y piano = The Colombian art song: Jaime León, analysis and compilation of his works for voice and piano; (3) La canción artística colombiana: Jaime León, análisis y compilación de su obra para voz y piano = The Colombian art song: Jaime León, analysis and compilation of his works for voice and piano"
Individual Composer,1,5,Tania,León,"León, Tania",Woman,Black,Y,Cuban-American,20,20-21,,1943,,Y,https://dbpedia.org/page/Tania_Le%C3%B3n,"(1) One mo' time: for flute, clarinet in Bb, violin, cello, and piano; (2) Saoko: for brass quintet; (3) Del caribe, soy!: for flute and piano; (4) Atwood songs: for soprano and piano; (5) De memorias: for woodwind quintet"
Individual Composer,1,1,Bun-Ching,Lam,"Lam, Bun-Ching",Woman,Asian,Y,Chinese-American,20,20-21,,1954,,Y,https://dbpedia.org/page/Lam_Bun-Ching,"Four Beckett Songs: For Soprano, Clarinet, Violin and Percussion"
Individual Composer,1,1,Liza,Lim,"Lim, Liza ",Woman,Asian,Y,Australian,21,21,,1968,,Y,https://dbpedia.org/page/Liza_Lim,Bioluminescence: for solo flute: 2019 
Individual Composer,1,3,Wynton,Marsalis,"Marsalis, Wynton ",Man,Black,Y,American,20,20-21,,1961,,Y,https://dbpedia.org/page/Wynton_Marsalis,"(1) A Fiddler's tale: for clarinet, bassoon, cornet, trombone, percussion, violin and bass; (2 Fiddle dance suite: for solo violin; (3) Swing symphony: for jazz band and orchestra (2010)"
Individual Composer,1,2,Pamela J.,Marshall,"Marshall, Pamela J. ",Woman,White,N,American,20,20-21,,1954,,Y,,"(1) Truth becoming: string quartet no. 1 (2002); (2) Quinteto sobre los poemas de Carlos pintado: for violin, viola, cello, double bass and piano"
Individual Composer,1,1,Missy,Mazzoli,"Mazzoli, Missy ",Woman,White,N,American,20,20-21,,1980,,Y,https://dbpedia.org/page/Missy_Mazzoli,"Strange dreams, from proving up: for mezzo-soprano and piano "
Individual Composer,1,1,Jessie,Montgomery,"Montgomery, Jessie ",Woman,Black,Y,American,20,20-21,,1981,,Y,https://dbpedia.org/page/Jessie_Montgomery,Rhapsody no. 2: for solo violin 
Individual Composer,1,2,Dorothy Rudd,Moore,"Moore, Dorothy Rudd ",Woman,Black,Y,American,20,20-21,,1940,,Y,https://dbpedia.org/page/Dorothy_Rudd_Moore,"(1) Dream and Variations: For Piano Solo; (2) Voices from the light: for women's chorus, oboe, string quartet and piano (1997); (3) Frederick Douglass: an opera in three acts; (4 Sonnets on love, rosebuds, and death: for high voice, violin, and piano (1976); (5) Modes: for string quartet: 1968; (6) Dirge and deliverance: for cello and piano: 1971; (6) Transcension: ""I have been to the mountaintop"": for chamber orchestra; (7) Night fantasy: for B♭ clarinet and piano; (8) From the dark tower"
