Type of Score,Barcode,Description,Item Policy,Material Type,MMS Id,ISBN,Resource Type,Title,Primo Link,Author,Publisher,Publication Place,Publication Date,Edition,Series,Subjects,Uniform Title,Language Code,Permanent Call Number,Location Name,Item Creation Fiscal Year
Individual Composer,39090018340865,,Score,Music Score,991018169840003851,,Notated music - Physical,Sechs lieder (1897) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018169840003851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Rothschild, Willy de, Baroness, 1832-1924.",Nimbus Music Publishing,Monmouth :,2020.,,,,,ger,MSC9201,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377867,,Score,Music Score,991018207343703851,,Notated music - Physical,Mollitude : flute  /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207343703851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Rzewski, Frederic, composer.",Frog Peak Music,"Lebanon, NH :",[2020],,,"Rzewski, Frederic--Manuscripts--Facsimiles.; Music--Manuscripts--Facsimiles.; Rzewski, Frederic.; Flute music.; Music.; Art music.; Scores.; Facsimiles.; Manuscripts.",,zxx,MSC9271,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377941,,Score,Music Score,991018207343803851,,Notated music - Physical,Dreams : for piano solo (2012-2014) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207343803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Rzewski, Frederic, composer.",Frog Peak Music,"Lebanon, NH :",[2020],,,"Rzewski, Frederic--Manuscripts--Facsimiles.; Piano music.; Music--Manuscripts--Facsimiles.; Art music.; Facsimiles.; Scores.",,zxx,MSC9270,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303335,,Score,Music Score,991018103545403851,,Notated music - Physical,Light still and moving : for flute and kantele : (2016) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103545403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Saariaho, Kaija, composer.",Chester Music,London :,[2020],Score and part.,,Flute and kantele music--Scores and parts.; Chamber music.; Scores.; Parts (Music),Light still and moving,eng,MSC9095,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377321,,Score,Music Score,991018202647103851,9789888708048; 988870804X,Notated music - Physical,"Symphonie concertante in f, op. 10, no. 1 /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018202647103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Saint-Georges, Chevalier, 1739-1799.",Artaria Editions,Wellington :,2020.,,,,,eng,MSC9248,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018320966,,Score,Music Score,991018139840003851,,Notated music - Physical,L'amant anonyme = (The anonymous lover) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018139840003851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Saint-Georges, Joseph Bologne, chevalier de, 1745-1799 composer.",Opera Ritrovata,[Los Angeles?] :,[2020],,,Operas--Vocal scores with piano.; Art music.; Operas.; Vocal scores.,Amant anonyme. Vocal score,fre,MSC9163,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090017718798,,Score,Music Score,991018115735803851,,Notated music - Physical,"İstanbul'da kış Sabahı = Winter morning in Istanbul : for piano four hands = Wintermorgen in Istanbul : für Klavier zu vier Händen = Matin d'hiver à Istanbul : pour piano a quattre mains, op. 51b (2012) /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018115735803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Say, Fazıl, 1970- composer.",Schott,Mainz :,[2014],,,Piano music (4 hands)--Scores.; Scores.; Chamber music.,,zxx,MSC9134,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377271,,Score,Music Score,991018207343603851,,Notated music - Physical,"Two sacred duets from the opera artemisia : for soprano, mezzo soprano and piano (2020) /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207343603851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Self, Susannah, 21st Century.",Composers Edition,Oxfordshire :,[2021].,,,,,lat,MSC9272,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018320891,,Score,Music Score,991018139839803851,,Notated music - Physical,Let America be America again : for soprano and string quartet (2017) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018139839803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Simon, Carlos, 1986-",Csjr Music,Brooklyn :,"2017, [2020].",,,,,eng,MSC9165,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377388,,Score,Music Score,991018202647003851,,Notated music - Physical,Catch on fire : for saxophone quartet (2019) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018202647003851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Simon, Carlos, 1986-",Csjr Music,Brooklyn :,2019.,,,,,eng,MSC9249,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018305330,,Score,Music Score,991018166647503851,,Notated music - Physical,Fate now conquers : for orchestra (2020) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018166647503851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Simon, Carlos, Jr., 1984- composer.",Bill Holab,"New York, NY :",2020.,,,,,eng,MSC9181,Music Desk--Inquire @ Music Desk,FY-2021
